food,cn_name,cn_food_id,energy_kj_per100g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,source,note
ginger,姜[黄姜](鲜),528,195.0,46.6,1.3,0.6,10.3,,14.9,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
scallion,大葱,441,139.0,33.2,1.7,0.3,6.5,,4.8,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
cilantro,香菜[芫荽](鲜),485,140.0,33.5,1.8,0.4,6.2,,48.5,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
peanut,花生仁(炒),764,2447.0,584.8,23.9,44.4,25.7,,445.1,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
sesame,芝麻籽(白),773,2225.0,531.8,18.4,39.6,31.5,,32.2,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
walnut,核桃(干)[胡桃],743,2668.0,637.7,14.9,58.8,19.1,,6.4,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
cooking_oil,豆油,1497,3696.0,883.4,,99.9,0.0,,4.9,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
sesame_oil,芝麻油[香油],1508,3692.0,882.4,,99.7,0.2,,1.1,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
chili_oil,油（辣椒油),1502,3700.0,884.3,,100.0,0.0,,,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
soy_sauce,酱油(均值),1518,269.0,64.3,5.6,0.1,10.1,,5757.0,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
sugar,糖（白砂糖）,1448,1698.0,405.8,,,99.9,,0.4,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
starch,玉米淀粉,320,1468.0,350.9,1.2,0.1,85.0,,6.3,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
vinegar,醋(均值),1520,130.0,31.1,2.1,0.3,4.9,,262.1,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
salt,精盐,1565,0.0,,,,0.0,,39311.0,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
cooking_wine,黄酒,1421,173.0,41.3,1.6,,8.6,,5.2,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
doubanjiang,豆瓣酱,1523,760.0,181.6,13.6,6.8,17.1,,6012.0,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
sweet_bean_sauce,甜面酱,1527,588.0,140.5,5.5,0.6,28.5,,2097.2,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
chicken_essence,鸡精,1567,832.0,198.9,10.7,2.8,32.5,,18864.4,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
flour,小麦粉(标准粉),259,1478.0,353.3,11.2,1.5,73.6,,3.1,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
rice,米饭(蒸)(均值),287,493.0,117.8,2.6,0.3,25.9,,2.5,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
yeast,酵母(干),1569,1575.0,376.4,47.6,1.7,45.5,,,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
fried_rice,什锦炒饭,1314,779.0,186.2,5.0,5.6,29.7,,220.0,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
dumpling,水饺(猪肉白菜馅),1330,940.0,224.7,7.5,10.8,26.0,,383.2,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
